link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6818f917f5591cb8c20ec300,Open,THE P H 0 E N I X,11,19,346536473,18238761.736842107,272063,3:03:34:23
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6818f93ab30ea595610d4400,Open,RED B U L L,9,21,385087952,18337521.523809522,272102,3:03:35:02
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6818fa8b994df97e920843b5,Open,Little Charlie,9,21,399995330,19047396.666666668,272433,3:03:40:33
