link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683aa224bd696362880c4049,Dead,Mini Bomb,23.0,7.0,57562194.0,8223170.571428572,322023.0,3:17:27:03
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a44020f3ce072d20aa0f3,Dead,PronessDave,18.0,12.0,101367823.0,8447318.583333334,297923.0,3:10:45:23
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683d7d9d6f641e44ba0b3aa5,Dead,PutoSousa,26.0,4.0,34017841.0,8504460.25,325091.0,3:18:18:11
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839fad341926cd94300a08d,Dead,PALOMA,20.0,10.0,86170867.0,8617086.7,267326.0,3:02:15:26
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838ac2cac461abed2008fb8,Dead,Svana Mad Butcher Gurino,24.0,6.0,51857013.0,8642835.5,322608.0,3:17:36:48
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839ba030138bdb345069844,Dead,Claudio Crazy Mangler Carrone,26.0,4.0,35114177.0,8778544.25,247336.0,2:20:42:16
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838a409986080bf9f0e3f72,Dead,Jimmy Rusty Sausages Porrello,20.0,10.0,89424751.0,8942475.1,320523.0,3:17:02:03
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a22fe5ccf3a04f106e68d,Dead,Richie Fat Face DeAngelis,5.0,25.0,223589144.0,8943565.76,331689.0,3:20:08:09
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839ec806f7d66b0b406135a,Dead,Jimmy Rusty Sausages Porrello,24.0,6.0,54645380.0,9107563.333333334,293604.0,3:09:33:24
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838a70a27bb7ed25f00aaaa,Dead,Jina Rusty Hammer,21.0,9.0,83128986.0,9236554.0,331959.0,3:20:12:39
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838b6ce4792fb51bd056492,Dead,Baby Kins,23.0,7.0,66452679.0,9493239.857142856,325326.0,3:18:22:06
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68395b7d29fd6982240cf836,Dead,Dancing Pinata,26.0,4.0,38607772.0,9651943.0,238393.0,2:18:13:13
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683bb08cdf19cd7b8e02a7aa,Dead,Cavei,19.0,11.0,106396389.0,9672399.0,207056.0,2:09:30:56
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388f09620c934f680c8aa4,Dead,Byte The Fookin Pillow,23.0,7.0,67942037.0,9706005.285714284,331969.0,3:20:12:49
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838c8a5f91dc584630d69b8,Dead,Two Scoops,24.0,6.0,58917056.0,9819509.333333334,329879.0,3:19:37:59
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683afac95b9208e69505b2fc,Dead,Ali The 1st Duchess of 8itchiness,21.0,9.0,88582357.0,9842484.111111112,329442.0,3:19:30:42
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683898b14100325e0b0d94d3,Dead,PutoSousa,29.0,1.0,9875397.0,9875397.0,334423.0,3:20:53:43
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68395ca5790b8ef9d2049869,Dead,Bombastic,19.0,11.0,109024889.0,9911353.545454543,340281.0,3:22:31:21
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683899afb7ebec58ab098b51,Dead,Pepe the frog,16.0,14.0,139609002.0,9972071.57142857,317865.0,3:16:17:45
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838b1f6b9ef2002bb0e16f9,Dead,Marta Shifty Weasal Bastoni,22.0,8.0,80550821.0,10068852.625,268660.0,3:02:37:40
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838854a3769262b060c9d03,Dead,Dancing Pinata,21.0,9.0,92171767.0,10241307.444444444,323325.0,3:17:48:45
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683953f72c7f2e4eae094429,Dead,PutoSousa,22.0,8.0,82022538.0,10252817.25,278738.0,3:05:25:38
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683ac087ea1ea5e2090373ed,Dead,Lia Danger Capone,16.0,14.0,145271482.0,10376534.42857143,329799.0,3:19:36:39
